bomb,explosion_time_s,time_s,worst_distance_m,threshold_m
1,3.614000000,6.350659029,6.453050561,10.000000000
1,3.614000000,6.357552376,6.437575236,10.000000000
1,3.614000000,6.364445724,6.422195379,10.000000000
1,3.614000000,6.371339072,6.406911727,10.000000000
1,3.614000000,6.378232419,6.391725021,10.000000000
1,3.614000000,6.385125767,6.376636002,10.000000000
1,3.614000000,6.392019115,6.361645418,10.000000000
1,3.614000000,6.398912462,6.346754014,10.000000000
1,3.614000000,6.405805810,6.331962542,10.000000000
1,3.614000000,6.412699158,6.317271754,10.000000000
1,3.614000000,6.419592505,6.302682935,10.000000000
1,3.614000000,6.426485853,6.288196356,10.000000000
1,3.614000000,6.433379201,6.273812733,10.000000000
1,3.614000000,6.440272548,6.259532826,10.000000000
1,3.614000000,6.447165896,6.245357398,10.000000000
1,3.614000000,6.454059244,6.231287213,10.000000000
1,3.614000000,6.460952592,6.217323038,10.000000000
1,3.614000000,6.467845939,6.203465641,10.000000000
1,3.614000000,6.474739287,6.189715790,10.000000000
1,3.614000000,6.481632635,6.176074674,10.000000000
1,3.614000000,6.488525982,6.162542823,10.000000000
1,3.614000000,6.495419330,6.149120834,10.000000000
1,3.614000000,6.502312678,6.135809480,10.000000000
1,3.614000000,6.509206025,6.122609535,10.000000000
1,3.614000000,6.516099373,6.109521774,10.000000000
1,3.614000000,6.522992721,6.096546973,10.000000000
1,3.614000000,6.529886068,6.083685908,10.000000000
1,3.614000000,6.536779416,6.070939423,10.000000000
1,3.614000000,6.543672764,6.058308772,10.000000000
1,3.614000000,6.550566111,6.045794185,10.000000000
1,3.614000000,6.557459459,6.033396438,10.000000000
1,3.614000000,6.564352807,6.021116307,10.000000000
1,3.614000000,6.571246154,6.008954568,10.000000000
1,3.614000000,6.578139502,5.996911994,10.000000000
1,3.614000000,6.585032850,5.984989360,10.000000000
1,3.614000000,6.591926197,5.973187491,10.000000000
1,3.614000000,6.598819545,5.961507684,10.000000000
1,3.614000000,6.605712893,5.949950130,10.000000000
1,3.614000000,6.612606240,5.938515599,10.000000000
1,3.614000000,6.619499588,5.927204857,10.000000000
1,3.614000000,6.626392936,5.916018670,10.000000000
1,3.614000000,6.633286283,5.904957801,10.000000000
1,3.614000000,6.640179631,5.894023011,10.000000000
1,3.614000000,6.647072979,5.883215428,10.000000000
1,3.614000000,6.653966327,5.872535717,10.000000000
1,3.614000000,6.660859674,5.861984353,10.000000000
1,3.614000000,6.667753022,5.851562085,10.000000000
1,3.614000000,6.674646370,5.841269662,10.000000000
1,3.614000000,6.681539717,5.831107826,10.000000000
1,3.614000000,6.688433065,5.821077318,10.000000000
1,3.614000000,6.695326413,5.811179222,10.000000000
1,3.614000000,6.702219760,5.801414241,10.000000000
1,3.614000000,6.709113108,5.791782786,10.000000000
1,3.614000000,6.716006456,5.782285580,10.000000000
1,3.614000000,6.722899803,5.772923344,10.000000000
1,3.614000000,6.729793151,5.763696792,10.000000000
1,3.614000000,6.736686499,5.754606634,10.000000000
1,3.614000000,6.743579846,5.745654185,10.000000000
1,3.614000000,6.750473194,5.736839604,10.000000000
1,3.614000000,6.757366542,5.728163515,10.000000000
1,3.614000000,6.764259889,5.719626605,10.000000000
1,3.614000000,6.771153237,5.711229558,10.000000000
1,3.614000000,6.778046585,5.702973048,10.000000000
1,3.614000000,6.784939932,5.694858202,10.000000000
1,3.614000000,6.791833280,5.686885464,10.000000000
1,3.614000000,6.798726628,5.679055250,10.000000000
1,3.614000000,6.805619975,5.671368210,10.000000000
1,3.614000000,6.812513323,5.663824986,10.000000000
1,3.614000000,6.819406671,5.656426212,10.000000000
1,3.614000000,6.826300019,5.649173061,10.000000000
1,3.614000000,6.833193366,5.642065765,10.000000000
1,3.614000000,6.840086714,5.635104773,10.000000000
1,3.614000000,6.846980062,5.628290687,10.000000000
1,3.614000000,6.853873409,5.621624100,10.000000000
1,3.614000000,6.860766757,5.615105752,10.000000000
1,3.614000000,6.867660105,5.608736631,10.000000000
1,3.614000000,6.874553452,5.602516736,10.000000000
1,3.614000000,6.881446800,5.596446624,10.000000000
1,3.614000000,6.888340148,5.590526842,10.000000000
1,3.614000000,6.895233495,5.584757928,10.000000000
1,3.614000000,6.902126843,5.579141110,10.000000000
1,3.614000000,6.909020191,5.573676240,10.000000000
1,3.614000000,6.915913538,5.568363791,10.000000000
1,3.614000000,6.922806886,5.563204258,10.000000000
1,3.614000000,6.929700234,5.558198129,10.000000000
1,3.614000000,6.936593581,5.553346601,10.000000000
1,3.614000000,6.943486929,5.548649438,10.000000000
1,3.614000000,6.950380277,5.544107069,10.000000000
1,3.614000000,6.957273624,5.539719936,10.000000000
1,3.614000000,6.964166972,5.535488648,10.000000000
1,3.614000000,6.971060320,5.531414022,10.000000000
1,3.614000000,6.977953667,5.527495884,10.000000000
1,3.614000000,6.984847015,5.523734627,10.000000000
1,3.614000000,6.991740363,5.520130635,10.000000000
1,3.614000000,6.998633710,5.516684845,10.000000000
1,3.614000000,7.005527058,5.513397243,10.000000000
1,3.614000000,7.012420406,5.510267972,10.000000000
1,3.614000000,7.019313754,5.507297365,10.000000000
1,3.614000000,7.026207101,5.504486101,10.000000000
1,3.614000000,7.033100449,5.501834540,10.000000000
1,3.614000000,7.039993797,5.499342555,10.000000000
1,3.614000000,7.046887144,5.497010426,10.000000000
1,3.614000000,7.053780492,5.494838724,10.000000000
1,3.614000000,7.060673840,5.492827875,10.000000000
1,3.614000000,7.067567187,5.490977632,10.000000000
1,3.614000000,7.074460535,5.489288222,10.000000000
1,3.614000000,7.081353883,5.487760256,10.000000000
1,3.614000000,7.088247230,5.486393923,10.000000000
1,3.614000000,7.095140578,5.485189009,10.000000000
1,3.614000000,7.102033926,5.484145682,10.000000000
1,3.614000000,7.108927273,5.483264735,10.000000000
1,3.614000000,7.115820621,5.482545835,10.000000000
1,3.614000000,7.122713969,5.481988938,10.000000000
1,3.614000000,7.129607316,5.481594359,10.000000000
1,3.614000000,7.136500664,5.481362606,10.000000000
1,3.614000000,7.143394012,5.481293145,10.000000000
1,3.614000000,7.150287359,5.481386045,10.000000000
1,3.614000000,7.157180707,5.481642065,10.000000000
1,3.614000000,7.164074055,5.482060656,10.000000000
1,3.614000000,7.170967402,5.482641722,10.000000000
1,3.614000000,7.177860750,5.483385782,10.000000000
1,3.614000000,7.184754098,5.484292648,10.000000000
1,3.614000000,7.191647446,5.485361976,10.000000000
1,3.614000000,7.198540793,5.486594148,10.000000000
1,3.614000000,7.205434141,5.487989124,10.000000000
1,3.614000000,7.212327489,5.489546418,10.000000000
1,3.614000000,7.219220836,5.491266381,10.000000000
1,3.614000000,7.226114184,5.493148911,10.000000000
1,3.614000000,7.233007532,5.495193484,10.000000000
1,3.614000000,7.239900879,5.497400527,10.000000000
1,3.614000000,7.246794227,5.499769668,10.000000000
1,3.614000000,7.253687575,5.502300451,10.000000000
1,3.614000000,7.260580922,5.504993472,10.000000000
1,3.614000000,7.267474270,5.507847899,10.000000000
1,3.614000000,7.274367618,5.510863638,10.000000000
