time_s,full_target_worst_distance_m,center_point_distance_m,bottom_center_distance_m,threshold_m
10.36666667,284.16989695,284.16989695,284.16989695,10.00000000
10.38333333,289.16449327,289.16449327,289.16449327,10.00000000
10.40000000,294.15911256,294.15911256,294.15911256,10.00000000
10.41666667,299.15375366,299.15375366,299.15375366,10.00000000
10.43333333,304.14841550,304.14841550,304.14841550,10.00000000
10.45000000,309.14309708,309.14309708,309.14309708,10.00000000
10.46666667,314.13779746,314.13779746,314.13779746,10.00000000
10.48333333,319.13251574,319.13251574,319.13251574,10.00000000
10.50000000,324.12725111,324.12725111,324.12725111,10.00000000
10.51666667,329.12200279,329.12200279,329.12200279,10.00000000
10.53333333,334.11677004,334.11677004,334.11677004,10.00000000
10.55000000,339.11155218,339.11155218,339.11155218,10.00000000
10.56666667,344.10634855,344.10634855,344.10634855,10.00000000
10.58333333,349.10115856,349.10115856,349.10115856,10.00000000
10.60000000,354.09598161,354.09598161,354.09598161,10.00000000
10.61666667,359.09081717,359.09081717,359.09081717,10.00000000
10.63333333,364.08566472,364.08566472,364.08566472,10.00000000
10.65000000,369.08052378,369.08052378,369.08052378,10.00000000
10.66666667,374.07539388,374.07539388,374.07539388,10.00000000
10.68333333,379.07027458,379.07027458,379.07027458,10.00000000
10.70000000,384.06516548,384.06516548,384.06516548,10.00000000
10.71666667,389.06006618,389.06006618,389.06006618,10.00000000
10.73333333,394.05497631,394.05497631,394.05497631,10.00000000
10.75000000,399.04989551,399.04989551,399.04989551,10.00000000
10.76666667,404.04482345,404.04482345,404.04482345,10.00000000
10.78333333,409.03975981,409.03975981,409.03975981,10.00000000
10.80000000,414.03470428,414.03470428,414.03470428,10.00000000
10.81666667,419.02965657,419.02965657,419.02965657,10.00000000
10.83333333,424.02461641,424.02461641,424.02461641,10.00000000
10.85000000,429.01958353,429.01958353,429.01958353,10.00000000
10.86666667,434.01455768,434.01455768,434.01455768,10.00000000
10.88333333,439.00953863,439.00953863,439.00953863,10.00000000
10.90000000,444.00452613,444.00452613,444.00452613,10.00000000
10.91666667,448.99951998,448.99951998,448.99951998,10.00000000
10.93333333,453.99451996,453.99451996,453.99451996,10.00000000
10.95000000,458.98952587,458.98952587,458.98952587,10.00000000
10.96666667,463.98453753,463.98453753,463.98453753,10.00000000
10.98333333,468.97955475,468.97955475,468.97955475,10.00000000
11.00000000,473.97457734,473.97457734,473.97457734,10.00000000
11.01666667,478.96960515,478.96960515,478.96960515,10.00000000
11.03333333,483.96463802,483.96463802,483.96463802,10.00000000
11.05000000,488.95967578,488.95967578,488.95967578,10.00000000
11.06666667,493.95471829,493.95471829,493.95471829,10.00000000
11.08333333,498.94976541,498.94976541,498.94976541,10.00000000
11.10000000,503.94481699,503.94481699,503.94481699,10.00000000
11.11666667,508.93987292,508.93987292,508.93987292,10.00000000
11.13333333,513.93493306,513.93493306,513.93493306,10.00000000
11.15000000,518.92999728,518.92999728,518.92999728,10.00000000
11.16666667,523.92506548,523.92506548,523.92506548,10.00000000
11.18333333,528.92013754,528.92013754,528.92013754,10.00000000
11.20000000,533.91521335,533.91521335,533.91521335,10.00000000
11.21666667,538.91029281,538.91029281,538.91029281,10.00000000
11.23333333,543.90537582,543.90537582,543.90537582,10.00000000
11.25000000,548.90046228,548.90046228,548.90046228,10.00000000
11.26666667,553.89555209,553.89555209,553.89555209,10.00000000
11.28333333,558.89064517,558.89064517,558.89064517,10.00000000
11.30000000,563.88574143,563.88574143,563.88574143,10.00000000
11.31666667,568.88084079,568.88084079,568.88084079,10.00000000
11.33333333,573.87594316,573.87594316,573.87594316,10.00000000
11.35000000,578.87104848,578.87104848,578.87104848,10.00000000
11.36666667,583.86615665,583.86615665,583.86615665,10.00000000
11.38333333,588.86126761,588.86126761,588.86126761,10.00000000
11.40000000,593.85638129,593.85638129,593.85638129,10.00000000
11.41666667,598.85149762,598.85149762,598.85149762,10.00000000
11.43333333,603.84661654,603.84661654,603.84661654,10.00000000
11.45000000,608.84173798,608.84173798,608.84173798,10.00000000
11.46666667,613.83686188,613.83686188,613.83686188,10.00000000
11.48333333,618.83198817,618.83198817,618.83198817,10.00000000
11.50000000,623.82711681,623.82711681,623.82711681,10.00000000
11.51666667,628.82224774,628.82224774,628.82224774,10.00000000
11.53333333,633.81738090,633.81738090,633.81738090,10.00000000
11.55000000,638.81251624,638.81251624,638.81251624,10.00000000
11.56666667,643.80765371,643.80765371,643.80765371,10.00000000
11.58333333,648.80279327,648.80279327,648.80279327,10.00000000
11.60000000,653.79793485,653.79793485,653.79793485,10.00000000
11.61666667,658.79307842,658.79307842,658.79307842,10.00000000
11.63333333,663.78822393,663.78822393,663.78822393,10.00000000
11.65000000,668.78337134,668.78337134,668.78337134,10.00000000
11.66666667,673.77852061,673.77852061,673.77852061,10.00000000
11.68333333,678.77367169,678.77367169,678.77367169,10.00000000
11.70000000,683.76882454,683.76882454,683.76882454,10.00000000
11.71666667,688.76397914,688.76397914,688.76397914,10.00000000
11.73333333,693.75913543,693.75913543,693.75913543,10.00000000
11.75000000,698.75429338,698.75429338,698.75429338,10.00000000
11.76666667,703.74945296,703.74945296,703.74945296,10.00000000
11.78333333,708.74461414,708.74461414,708.74461414,10.00000000
11.80000000,713.73977687,713.73977687,713.73977687,10.00000000
11.81666667,718.73494113,718.73494113,718.73494113,10.00000000
11.83333333,723.73010689,723.73010689,723.73010689,10.00000000
11.85000000,728.72527411,728.72527411,728.72527411,10.00000000
11.86666667,733.72044276,733.72044276,733.72044276,10.00000000
11.88333333,738.71561282,738.71561282,738.71561282,10.00000000
11.90000000,743.71078426,743.71078426,743.71078426,10.00000000
11.91666667,748.70595705,748.70595705,748.70595705,10.00000000
11.93333333,753.70113116,753.70113116,753.70113116,10.00000000
11.95000000,758.69630657,758.69630657,758.69630657,10.00000000
11.96666667,763.69148324,763.69148324,763.69148324,10.00000000
11.98333333,768.68666117,768.68666117,768.68666117,10.00000000
12.00000000,773.68184031,773.68184031,773.68184031,10.00000000
12.01666667,778.67702066,778.67702066,778.67702066,10.00000000
12.03333333,783.67220218,783.67220218,783.67220218,10.00000000
12.05000000,788.66738485,788.66738485,788.66738485,10.00000000
12.06666667,793.66256866,793.66256866,793.66256866,10.00000000
12.08333333,798.65775358,798.65775358,798.65775358,10.00000000
12.10000000,803.65293958,803.65293958,803.65293958,10.00000000
12.11666667,808.64812666,808.64812666,808.64812666,10.00000000
12.13333333,813.64331479,813.64331479,813.64331479,10.00000000
12.15000000,818.63850394,818.63850394,818.63850394,10.00000000
12.16666667,823.63369411,823.63369411,823.63369411,10.00000000
12.18333333,828.62888527,828.62888527,828.62888527,10.00000000
12.20000000,833.62407741,833.62407741,833.62407741,10.00000000
12.21666667,838.61927051,838.61927051,838.61927051,10.00000000
12.23333333,843.61446454,843.61446454,843.61446454,10.00000000
12.25000000,848.60965951,848.60965951,848.60965951,10.00000000
12.26666667,853.60485538,853.60485538,853.60485538,10.00000000
12.28333333,858.60005214,858.60005214,858.60005214,10.00000000
12.30000000,863.59524978,863.59524978,863.59524978,10.00000000
12.31666667,868.59044828,868.59044828,868.59044828,10.00000000
12.33333333,873.58564763,873.58564763,873.58564763,10.00000000
12.35000000,878.58084781,878.58084781,878.58084781,10.00000000
12.36666667,883.57604881,883.57604881,883.57604881,10.00000000
12.38333333,888.57125062,888.57125062,888.57125062,10.00000000
12.40000000,893.56645321,893.56645321,893.56645321,10.00000000
12.41666667,898.56165659,898.56165659,898.56165659,10.00000000
12.43333333,903.55686073,903.55686073,903.55686073,10.00000000
12.45000000,908.55206562,908.55206562,908.55206562,10.00000000
12.46666667,913.54727125,913.54727125,913.54727125,10.00000000
12.48333333,918.54247761,918.54247761,918.54247761,10.00000000
12.50000000,923.53768469,923.53768469,923.53768469,10.00000000
12.51666667,928.53289247,928.53289247,928.53289247,10.00000000
12.53333333,933.52810095,933.52810095,933.52810095,10.00000000
12.55000000,938.52331011,938.52331011,938.52331011,10.00000000
12.56666667,943.51851993,943.51851993,943.51851993,10.00000000
12.58333333,948.51373042,948.51373042,948.51373042,10.00000000
12.60000000,953.50894156,953.50894156,953.50894156,10.00000000
12.61666667,958.50415335,958.50415335,958.50415335,10.00000000
12.63333333,963.49936576,963.49936576,963.49936576,10.00000000
12.65000000,968.49457879,968.49457879,968.49457879,10.00000000
12.66666667,973.48979243,973.48979243,973.48979243,10.00000000
12.68333333,978.48500668,978.48500668,978.48500668,10.00000000
12.70000000,983.48022151,983.48022151,983.48022151,10.00000000
12.71666667,988.47543694,988.47543694,988.47543694,10.00000000
12.73333333,993.47065293,993.47065293,993.47065293,10.00000000
